StationID,Name,Latitude,Longitude
JY01,Tokyo,35.680833,139.766944
JY02,Kanda,35.691731,139.771264
JY03,Akihabara,35.69824,139.773731
JY04,Okachimachi,35.707894,139.774337
JY05,Ueno,35.713434,139.776725
JY06,Uguisudani,35.722066,139.777851
JY07,Nippori,35.727588,139.770781
JY08,Nishi-Nippori,35.731926,139.7668
JY09,Tabata,35.737909,139.761254
JY10,Komagome,35.736289,139.746995
JY11,Sugamo,35.733345,139.739496
JY12,Otsuka,35.731438,139.728692
JY13,Ikebukuro,35.730278,139.711389
JY14,Mejiro,35.720995,139.70688
JY15,Takadanobaba,35.712778,139.703889
JY16,Shin-Okubo,35.701063,139.700228
JY17,Shinjuku,35.689475,139.700349
JY18,Yoyogi,35.683828,139.70232
JY19,Harajuku,35.670162,139.70269
JY20,Shibuya,35.658514,139.70133
JY21,Ebisu,35.646643,139.710045
JY22,Meguro,35.633983,139.716
JY23,Gotanda,35.62645,139.7234
JY24,Osaki,35.6197,139.72855
JY25,Shinagawa,35.628157,139.739099
JY26,Takanawa Gateway,35.636389,139.741389
JY27,Tamachi,35.645605,139.7477
JY28,Hamamatsu-cho,35.65523,139.757627
JY29,Shimbashi,35.666301,139.758679
JY30,Yurakucho,35.674877,139.763646
